Area,Price
500,1600000
550,1760000
600,1920000
650,2080000
700,2240000
750,2400000
800,2560000
850,2720000
900,2880000
950,3040000
1000,3200000
1050,3360000
1100,3520000
1150,3680000
1200,3840000
1250,4000000
1300,4160000
1350,4320000
1400,4480000
1450,4640000
1500,4800000
1550,4960000
1600,5120000
1650,5280000
1700,5440000
1750,5600000
1800,5760000
1850,5920000
1900,6080000
1950,6240000
2000,6400000
2050,6560000
2100,6720000
2150,6880000
2200,7040000
2250,7200000
2300,7360000
2350,7520000
2400,7680000
2450,7840000
2500,8000000
2550,8160000
2600,8320000
2650,8480000
2700,8640000
2750,8800000
2800,8960000
2850,9120000
2900,9280000
2950,9440000
3000,9600000
3050,9760000
3100,9920000
3150,10080000
3200,10240000
3250,10400000
3300,10560000
3350,10720000
3400,10880000
3450,11040000
3500,11200000
3550,11360000
3600,11520000
3650,11680000
3700,11840000
3750,12000000
3800,12160000
3850,12320000
3900,12480000
3950,12640000
4000,12800000
4050,12960000
4100,13120000
4150,13280000
4200,13440000
4250,13600000
4300,13760000
4350,13920000
4400,14080000
4450,14240000
4500,14400000
4550,14560000
4600,14720000
4650,14880000
4700,15040000
4750,15200000
4800,15360000
4850,15520000
4900,15680000
4950,15840000
5000,16000000
5050,16160000
5100,16320000
5150,16480000
5200,16640000
5250,16800000
5300,16960000
5350,17120000
5400,17280000
5450,17440000
