Area,Price
500,600000
600,820000
700,1050000
800,1320000
900,1620000
1000,1950000
1100,2310000
1200,2700000
1300,3120000
1400,3570000
1500,4050000
1600,4560000
1700,5100000
1800,5670000
1900,6270000
2000,6900000
2100,7560000
2200,8250000
2300,8970000
2400,9720000
2500,10500000
2600,11310000
2700,12150000
2800,13020000
2900,13920000
3000,14850000
3100,15810000
3200,16800000
3300,17820000
3400,18870000
3500,19950000
3600,21060000
3700,22200000
3800,23370000
3900,24570000
4000,25800000
4100,27060000
4200,28350000
4300,29670000
4400,31020000
4500,32400000
4600,33810000
4700,35250000
4800,36720000
4900,38220000
5000,39750000
5100,41310000
5200,42900000
5300,44520000
5400,46170000
