Area,Price
520,1680000
610,1950000
750,2380000
800,2550000
920,2950000
1000,3200000
1100,3500000
1250,4050000
1400,4500000
1500,4900000
1600,5100000
1750,5750000
1800,5900000
1950,6400000
2100,7000000
2250,7350000
2400,7800000
2600,8600000
2750,9000000
2900,9400000
3100,10100000
3300,11000000
3500,11800000
3700,12300000
3900,13200000
4100,14000000
4300,14700000
4500,15500000
4700,16200000
4900,16800000
530,1750000
680,2200000
820,2700000
970,3100000
1120,3550000
1300,4200000
1450,4600000
1620,5200000
1780,5600000
1930,6100000
2070,6500000
2230,7000000
2380,7450000
2520,7800000
2680,8300000
2850,9000000
3050,9800000
3250,10500000
3450,11200000
3650,12000000
3850,12800000
4050,13600000
4250,14300000
4450,15000000
4650,15800000
4850,16500000
5050,17300000
5250,18000000
5450,18800000
5650,19500000
600,2000000
720,2400000
880,2850000
1020,3300000
1180,3750000
1350,4300000
1520,4850000
1680,5300000
1850,5900000
2000,6400000
2180,7000000
2350,7600000
2500,8000000
2700,8700000
2950,9500000
3150,10300000
3350,11000000
3550,11800000
3750,12600000
3950,13400000
4150,14200000
4350,15000000
4550,15800000
4750,16500000
4950,17300000
5150,18100000
5350,18900000
5550,19700000
5750,20500000
5950,21200000
650,2200000
900,3000000
1150,3800000
1400,4600000
1650,5400000
1900,6200000
2150,7000000
2400,7800000
2650,8600000
2900,9400000
