Income,CreditScore,DebtRatio,EmploymentYears,LoanAmount,Risk
48000,620,0.45,5,25000,0
52000,680,0.32,8,20000,0
61000,710,0.28,10,18000,0
45000,590,0.6,3,30000,1
70000,750,0.25,12,22000,0
38000,560,0.7,2,28000,1
82000,790,0.2,15,24000,0
56000,640,0.4,7,21000,0
47000,600,0.55,4,27000,1
63000,720,0.3,9,23000,0
54000,660,0.5,6,26000,0
75000,800,0.22,18,25000,0
43000,580,0.65,3,29000,1
68000,730,0.27,11,21000,0
59000,690,0.38,8,20000,0
46000,610,0.58,5,28000,1
51000,670,0.42,7,22000,0
90000,820,0.18,20,24000,0
35000,540,0.75,1,30000,1
62000,700,0.35,9,23000,0
58000,650,0.48,6,26000,0
72000,740,0.26,13,21000,0
41000,570,0.68,2,29000,1
66000,720,0.33,10,22000,0
53000,660,0.44,7,25000,0
84000,810,0.21,16,24000,0
39000,550,0.72,3,31000,1
71000,760,0.29,12,20000,0
60000,690,0.39,8,23000,0
49500,630,0.53,5,27000,1
77000,780,0.24,14,21000,0
44000,600,0.62,4,28000,1
65000,710,0.31,11,22000,0
52000,670,0.46,7,26000,0
88000,830,0.19,19,24000,0
36000,520,0.78,1,32000,1
73000,750,0.27,13,20000,0
57000,680,0.41,9,23000,0
49000,610,0.57,4,27000,1
81000,790,0.23,17,25000,0
54000,660,0.49,6,21000,0
69000,730,0.3,10,29000,0
42000,590,0.66,3,22000,1
76000,770,0.25,15,26000,0
58000,700,0.37,8,20000,0
50000,650,0.52,5,28000,1
91000,840,0.17,21,23000,0
37000,530,0.74,2,31000,1
64000,720,0.34,11,24000,0
56000,680,0.43,7,21000,0
47000,600,0.59,4,30000,1
85000,810,0.22,16,22000,0
43000,560,0.69,3,29000,1
70000,750,0.28,12,23000,0
61000,710,0.36,9,25000,0
52000,660,0.47,6,27000,0
93000,850,0.16,22,20000,0
34000,510,0.8,1,32000,1
68000,730,0.26,14,21000,0
59000,690,0.38,8,26000,0
48000,620,0.54,5,28000,1
74000,760,0.24,13,22000,0
41000,570,0.67,2,30000,1
66000,720,0.32,10,23000,0
53000,660,0.45,7,25000,0
86000,820,0.2,18,24000,0
39000,550,0.73,3,31000,1
72000,740,0.29,12,21000,0
60000,700,0.4,9,26000,0
50000,640,0.51,6,27000,0
78000,790,0.23,15,22000,0
45000,610,0.61,4,29000,1
67000,710,0.3,11,23000,0
55000,670,0.44,8,25000,0
47000,600,0.56,5,28000,1
83000,800,0.21,17,20000,0
42000,580,0.7,3,30000,1
71000,750,0.27,13,22000,0
58000,690,0.39,9,26000,0
49000,630,0.52,6,27000,0
80000,780,0.25,16,21000,0
44000,590,0.65,4,29000,1
69000,730,0.33,12,23000,0
56000,680,0.46,7,24000,0
52000,660,0.48,8,25000,0
87000,820,0.18,19,32000,0
36000,540,0.77,2,21000,1
73000,760,0.28,14,26000,0
61000,710,0.35,10,28000,0
50000,650,0.5,6,22000,1
76000,770,0.22,15,30000,0
43000,570,0.68,3,23000,0
65000,720,0.31,11,25000,0
54000,690,0.43,8,27000,1
48000,620,0.57,5,21000,0
82000,800,0.19,18,31000,1
40000,560,0.74,2,22000,0
70000,740,0.3,13,26000,0
59000,700,0.38,9,28000,1
51000,660,0.49,7,24000,0
